date,apple,pen
2006-01-01,2914,323
2006-01-02,2817,313
2006-01-03,2721,305
2006-01-04,2616,293
2006-01-05,2527,287
2006-01-06,2434,279
2006-01-07,2339,270
2006-01-08,2236,257
2006-01-09,2139,245
2006-01-10,2046,233
2006-01-11,1943,223
2006-01-12,1858,215
2006-01-13,1772,204
2006-01-14,1673,190
2006-01-15,4675,519
2006-01-16,4573,505
2006-01-17,4494,492
2006-01-18,4384,478
2006-01-19,4285,467
2006-01-20,4190,463
2006-01-21,4098,451
2006-01-22,4016,441
2006-01-23,3927,431
2006-01-24,3835,419
2006-01-25,3731,413
2006-01-26,3633,407
2006-01-27,3543,397
2006-01-28,3440,385
2006-01-29,3341,372
2006-01-30,3250,356
2006-01-31,3140,339
2006-02-01,6017,669
2006-02-02,5923,657
2006-02-03,5836,651
2006-02-04,5742,645
2006-02-05,5662,638
2006-02-06,5587,630
2006-02-07,5497,618
2006-02-08,5403,606
2006-02-09,5317,595
2006-02-10,5221,584
2006-02-11,5125,579
2006-02-12,5034,569
2006-02-13,4943,560
2006-02-14,4844,555
2006-02-15,7645,873
2006-02-16,7559,864
2006-02-17,7444,856
2006-02-18,7350,845
2006-02-19,7268,833
2006-02-20,7189,827
2006-02-21,7091,822
2006-02-22,7008,811
2006-02-23,6918,803
2006-02-24,6822,796
2006-02-25,6721,782
2006-02-26,6624,773
2006-02-27,6545,765
2006-02-28,6450,759
2006-03-01,9309,1081
2006-03-02,9222,1076
2006-03-03,9128,1067
2006-03-04,9031,1059
2006-03-05,8945,1048
2006-03-06,8857,1040
2006-03-07,8780,1033
2006-03-08,8689,1016
2006-03-09,8591,1001
2006-03-10,8493,988
2006-03-11,8392,982
2006-03-12,8287,974
2006-03-13,8212,967
2006-03-14,8115,956
2006-03-15,10990,1276
2006-03-16,10901,1270
2006-03-17,10799,1264
2006-03-18,10716,1253
2006-03-19,10623,1244
2006-03-20,10552,1233
2006-03-21,10468,1228
2006-03-22,10370,1218
2006-03-23,10282,1205
2006-03-24,10206,1198
2006-03-25,10096,1189
2006-03-26,10009,1184
2006-03-27,9904,1172
2006-03-28,9819,1166
2006-03-29,9716,1160
2006-03-30,9630,1156
2006-03-31,9517,1142
2006-04-01,12389,1460
2006-04-02,12309,1450
2006-04-03,12207,1442
2006-04-04,12119,1436
2006-04-05,12031,1424
2006-04-06,11948,1406
2006-04-07,11870,1398
2006-04-08,11779,1390
2006-04-09,11682,1384
2006-04-10,11586,1369
2006-04-11,11495,1362
2006-04-12,11409,1348
2006-04-13,11308,1336
2006-04-14,11202,1327
2006-04-15,14051,1631
2006-04-16,13959,1622
2006-04-17,13877,1608
2006-04-18,13785,1599
2006-04-19,13699,1588
2006-04-20,13602,1571
2006-04-21,13502,1560
2006-04-22,13416,1556
2006-04-23,13322,1541
2006-04-24,13230,1534
2006-04-25,13138,1528
2006-04-26,13050,1516
2006-04-27,12946,1506
2006-04-28,12845,1500
2006-04-29,12746,1483
2006-04-30,12655,1468
2006-05-01,15572,1805
2006-05-02,15476,1796
2006-05-03,15381,1779
2006-05-04,15288,1774
2006-05-05,15172,1763
2006-05-06,15091,1754
2006-05-07,14985,1747
2006-05-08,14878,1729
2006-05-09,14794,1726
2006-05-10,14719,1717
2006-05-11,14629,1708
2006-05-12,14520,1690
2006-05-13,14412,1682
2006-05-14,14322,1674
2006-05-15,17271,1991
2006-05-16,17175,1981
2006-05-17,17068,1973
2006-05-18,16973,1957
2006-05-19,16890,1945
2006-05-20,16793,1929
2006-05-21,16696,1920
2006-05-22,16603,1917
2006-05-23,16521,1911
2006-05-24,16423,1903
2006-05-25,16345,1892
2006-05-26,16249,1884
2006-05-27,16152,1882
2006-05-28,16062,1874
2006-05-29,15976,1866
2006-05-30,15891,1857
2006-05-31,15799,1847
2006-06-01,18678,2123
2006-06-02,18588,2106
2006-06-03,18495,2098
2006-06-04,18410,2087
2006-06-05,18309,2076
2006-06-06,18210,2065
2006-06-07,18124,2056
2006-06-08,18014,2044
2006-06-09,17916,2031
2006-06-10,17831,2021
2006-06-11,17750,2012
2006-06-12,17653,1999
2006-06-13,17561,1990
2006-06-14,17469,1982
2006-06-15,20300,2318
2006-06-16,20225,2305
2006-06-17,20132,2292
2006-06-18,20044,2281
2006-06-19,19956,2268
2006-06-20,19884,2258
2006-06-21,19797,2244
2006-06-22,19698,2239
2006-06-23,19604,2225
2006-06-24,19528,2219
2006-06-25,19428,2211
2006-06-26,19361,2196
2006-06-27,19277,2185
2006-06-28,19170,2173
2006-06-29,19080,2156
2006-06-30,18975,2148
2006-07-01,21870,2460
2006-07-02,21780,2455
2006-07-03,21663,2446
2006-07-04,21556,2431
2006-07-05,21456,2418
2006-07-06,21363,2410
2006-07-07,21272,2398
2006-07-08,21180,2391
2006-07-09,21098,2376
2006-07-10,21009,2370
2006-07-11,20923,2361
2006-07-12,20833,2348
2006-07-13,20744,2337
2006-07-14,20658,2327
2006-07-15,23502,2668
2006-07-16,23409,2660
2006-07-17,23307,2648
2006-07-18,23219,2640
2006-07-19,23121,2628
2006-07-20,23028,2617
2006-07-21,22933,2609
2006-07-22,22825,2594
2006-07-23,22732,2584
2006-07-24,22633,2567
2006-07-25,22561,2561
2006-07-26,22487,2549
2006-07-27,22406,2541
2006-07-28,22308,2533
2006-07-29,22222,2523
2006-07-30,22142,2513
2006-07-31,22063,2503
2006-08-01,24952,2814
2006-08-02,24863,2798
2006-08-03,24755,2788
2006-08-04,24675,2774
2006-08-05,24573,2765
2006-08-06,24467,2752
2006-08-07,24367,2743
2006-08-08,24275,2728
2006-08-09,24160,2713
2006-08-10,24060,2706
2006-08-11,23984,2696
2006-08-12,23899,2687
2006-08-13,23812,2675
2006-08-14,23698,2664
2006-08-15,26597,3001
2006-08-16,26483,2996
2006-08-17,26390,2988
2006-08-18,26291,2979
2006-08-19,26183,2969
2006-08-20,26100,2957
2006-08-21,25991,2950
2006-08-22,25878,2945
2006-08-23,25791,2935
2006-08-24,25710,2923
2006-08-25,25620,2916
2006-08-26,25519,2909
2006-08-27,25389,2898
2006-08-28,25297,2890
2006-08-29,25188,2876
2006-08-30,25106,2861
2006-08-31,25007,2843
2006-09-01,27942,3174
2006-09-02,27859,3160
2006-09-03,27749,3149
2006-09-04,27662,3139
2006-09-05,27561,3135
2006-09-06,27465,3128
2006-09-07,27364,3118
2006-09-08,27273,3115
2006-09-09,27182,3100
2006-09-10,27093,3086
2006-09-11,26997,3072
2006-09-12,26897,3063
2006-09-13,26798,3055
2006-09-14,26722,3044
2006-09-15,29698,3345
2006-09-16,29593,3337
2006-09-17,29495,3327
2006-09-18,29419,3312
2006-09-19,29345,3302
2006-09-20,29243,3294
2006-09-21,29161,3282
2006-09-22,29077,3277
2006-09-23,28989,3267
2006-09-24,28889,3257
2006-09-25,28797,3248
2006-09-26,28704,3241
2006-09-27,28616,3235
2006-09-28,28523,3227
2006-09-29,28446,3221
2006-09-30,28347,3210
2006-10-01,31339,3537
2006-10-02,31242,3531
2006-10-03,31138,3526
2006-10-04,31034,3513
2006-10-05,30930,3499
2006-10-06,30848,3491
2006-10-07,30755,3480
2006-10-08,30664,3472
2006-10-09,30572,3465
2006-10-10,30473,3455
2006-10-11,30382,3445
2006-10-12,30286,3435
2006-10-13,30200,3425
2006-10-14,30101,3414
2006-10-15,32985,3718
2006-10-16,32889,3711
2006-10-17,32789,3698
2006-10-18,32691,3683
2006-10-19,32604,3675
2006-10-20,32512,3665
2006-10-21,32400,3651
2006-10-22,32300,3642
2006-10-23,32207,3631
2006-10-24,32115,3624
2006-10-25,32030,3615
2006-10-26,31943,3604
2006-10-27,31871,3588
2006-10-28,31754,3580
2006-10-29,31662,3570
2006-10-30,31575,3560
2006-10-31,31485,3551
2006-11-01,34407,3884
2006-11-02,34306,3877
2006-11-03,34220,3866
2006-11-04,34125,3855
2006-11-05,34046,3848
2006-11-06,33958,3842
2006-11-07,33874,3828
2006-11-08,33793,3817
2006-11-09,33693,3811
2006-11-10,33601,3803
2006-11-11,33500,3799
2006-11-12,33407,3785
2006-11-13,33322,3777
2006-11-14,33234,3772
2006-11-15,36160,4071
2006-11-16,36068,4065
2006-11-17,35967,4059
2006-11-18,35888,4052
2006-11-19,35791,4039
2006-11-20,35698,4030
2006-11-21,35612,4023
2006-11-22,35504,4014
2006-11-23,35428,3999
2006-11-24,35333,3994
2006-11-25,35239,3983
2006-11-26,35143,3970
2006-11-27,35046,3961
2006-11-28,34937,3953
2006-11-29,34842,3941
2006-11-30,34753,3930
2006-12-01,37577,4230
2006-12-02,37489,4218
2006-12-03,37382,4209
2006-12-04,37298,4205
2006-12-05,37219,4193
2006-12-06,37135,4177
2006-12-07,37047,4162
2006-12-08,36951,4155
2006-12-09,36864,4143
2006-12-10,36760,4137
2006-12-11,36665,4127
2006-12-12,36566,4117
2006-12-13,36468,4109
2006-12-14,36381,4099
2006-12-15,39219,4439
2006-12-16,39123,4423
2006-12-17,39042,4414
2006-12-18,38956,4405
2006-12-19,38860,4396
2006-12-20,38779,4391
2006-12-21,38680,4383
2006-12-22,38582,4374
2006-12-23,38491,4366
2006-12-24,38406,4357
2006-12-25,38314,4345
2006-12-26,38231,4332
2006-12-27,38146,4318
2006-12-28,38058,4310
2006-12-29,37980,4300
2006-12-30,37890,4294
2006-12-31,37794,4286
2007-01-01,40685,4587
2007-01-02,40564,4576
2007-01-03,40478,4566
2007-01-04,40378,4555
2007-01-05,40289,4544
2007-01-06,40215,4537
2007-01-07,40114,4525
2007-01-08,40024,4514
2007-01-09,39929,4507
2007-01-10,39847,4504
2007-01-11,39731,4491
2007-01-12,39639,4481
2007-01-13,39557,4473
2007-01-14,39460,4462
2007-01-15,42361,4800
2007-01-16,42270,4787
2007-01-17,42166,4778
2007-01-18,42081,4763
2007-01-19,41987,4754
2007-01-20,41899,4739
2007-01-21,41816,4732
2007-01-22,41712,4727
2007-01-23,41637,4720
2007-01-24,41551,4714
2007-01-25,41453,4707
2007-01-26,41369,4696
2007-01-27,41298,4685
2007-01-28,41209,4674
2007-01-29,41111,4663
2007-01-30,41007,4648
2007-01-31,40905,4643
2007-02-01,43912,5026
2007-02-02,43814,5012
2007-02-03,43713,5006
2007-02-04,43606,4991
2007-02-05,43506,4977
2007-02-06,43418,4965
2007-02-07,43326,4955
2007-02-08,43224,4944
2007-02-09,43126,4936
2007-02-10,43017,4928
2007-02-11,42927,4921
2007-02-12,42830,4908
2007-02-13,42726,4896
2007-02-14,42637,4882
2007-02-15,45575,5211
2007-02-16,45503,5202
2007-02-17,45396,5184
2007-02-18,45295,5168
2007-02-19,45219,5163
2007-02-20,45133,5148
2007-02-21,45050,5136
2007-02-22,44968,5131
2007-02-23,44874,5123
2007-02-24,44787,5111
2007-02-25,44687,5102
2007-02-26,44619,5093
2007-02-27,44513,5087
2007-02-28,44423,5071
2007-03-01,47373,5380
2007-03-02,47294,5376
2007-03-03,47200,5370
2007-03-04,47076,5357
2007-03-05,46987,5341
2007-03-06,46904,5335
2007-03-07,46807,5328
2007-03-08,46700,5306
2007-03-09,46607,5298
2007-03-10,46517,5285
2007-03-11,46412,5277
2007-03-12,46309,5267
2007-03-13,46202,5256
2007-03-14,46102,5246
2007-03-15,49076,5578
2007-03-16,48974,5567
2007-03-17,48870,5558
2007-03-18,48754,5549
2007-03-19,48652,5533
2007-03-20,48568,5522
2007-03-21,48487,5513
2007-03-22,48394,5500
2007-03-23,48295,5493
2007-03-24,48217,5480
2007-03-25,48131,5469
2007-03-26,48046,5464
2007-03-27,47966,5454
2007-03-28,47868,5442
2007-03-29,47781,5432
2007-03-30,47711,5418
2007-03-31,47619,5406
2007-04-01,50479,5736
2007-04-02,50386,5725
2007-04-03,50295,5719
2007-04-04,50197,5707
2007-04-05,50115,5700
